site,x,y,potential,occupation,random_particle_probability
0,0,0,2.25,0.00261220414686,0.00130610207343
1,1,0,1.625,0.00749116097979,0.00374558048989
2,2,0,1.25,0.0174557047753,0.00872785238766
3,3,0,1.125,0.023400843581,0.0117004217905
4,4,0,1.25,0.0174557047753,0.00872785238766
5,5,0,1.625,0.00749116097979,0.0037455804899
6,6,0,2.25,0.00261220414687,0.00130610207343
7,0,1,1.625,0.0074911609798,0.0037455804899
8,1,1,1,0.0206847085165,0.0103423542583
9,2,1,0.625,0.0459421213878,0.0229710606939
10,3,1,0.5,0.0600708425321,0.0300354212661
11,4,1,0.625,0.0459421213878,0.0229710606939
12,5,1,1,0.0206847085165,0.0103423542583
13,6,1,1.625,0.0074911609798,0.0037455804899
14,0,2,1.25,0.0174557047753,0.00872785238766
15,1,2,0.625,0.0459421213877,0.0229710606939
16,2,2,0.25,0.0952166758995,0.0476083379497
17,3,2,0.125,0.119613210066,0.0598066050328
18,4,2,0.25,0.0952166758995,0.0476083379497
19,5,2,0.625,0.0459421213878,0.0229710606939
20,6,2,1.25,0.0174557047753,0.00872785238766
21,0,3,1.125,0.023400843581,0.0117004217905
22,1,3,0.5,0.0600708425321,0.030035421266
23,2,3,0.125,0.119613210065,0.0598066050327
24,3,3,0,0.146494163891,0.0732470819457
25,4,3,0.125,0.119613210066,0.0598066050328
26,5,3,0.5,0.0600708425321,0.0300354212661
27,6,3,1.125,0.023400843581,0.0117004217905
28,0,4,1.25,0.0174557047753,0.00872785238766
29,1,4,0.625,0.0459421213877,0.0229710606939
30,2,4,0.25,0.0952166758994,0.0476083379497
31,3,4,0.125,0.119613210065,0.0598066050327
32,4,4,0.25,0.0952166758995,0.0476083379497
33,5,4,0.625,0.0459421213878,0.0229710606939
34,6,4,1.25,0.0174557047753,0.00872785238766
35,0,5,1.625,0.00749116097979,0.00374558048989
36,1,5,1,0.0206847085165,0.0103423542583
37,2,5,0.625,0.0459421213877,0.0229710606938
38,3,5,0.5,0.0600708425321,0.030035421266
39,4,5,0.625,0.0459421213877,0.0229710606939
40,5,5,1,0.0206847085165,0.0103423542583
41,6,5,1.625,0.00749116097979,0.00374558048989
42,0,6,2.25,0.00261220414686,0.00130610207343
43,1,6,1.625,0.00749116097978,0.00374558048989
44,2,6,1.25,0.0174557047753,0.00872785238765
45,3,6,1.125,0.0234008435809,0.0117004217905
46,4,6,1.25,0.0174557047753,0.00872785238766
47,5,6,1.625,0.00749116097979,0.0037455804899
48,6,6,2.25,0.00261220414686,0.00130610207343
