site,x,y,z,physical_x,physical_y,physical_z,potential,occupation,random_particle_probability,chain_count,total_measurements
0,0,0,0,-1.5,-1.5,-1.5,0.84375,0.0220833333333,0.0110416666667,12,24
1,1,0,0,-0.5,-1.5,-1.5,0.59375,0,0,12,24
2,2,0,0,0.5,-1.5,-1.5,0.59375,0,0,12,24
3,3,0,0,1.5,-1.5,-1.5,0.84375,0.0461666666667,0.0230833333333,12,24
4,0,1,0,-1.5,-0.5,-1.5,0.59375,0.0423333333333,0.0211666666667,12,24
5,1,1,0,-0.5,-0.5,-1.5,0.34375,0.0805,0.04025,12,24
6,2,1,0,0.5,-0.5,-1.5,0.34375,0.02775,0.013875,12,24
7,3,1,0,1.5,-0.5,-1.5,0.59375,0.02075,0.010375,12,24
8,0,2,0,-1.5,0.5,-1.5,0.59375,0.0178333333333,0.00891666666667,12,24
9,1,2,0,-0.5,0.5,-1.5,0.34375,0.0234166666667,0.0117083333333,12,24
10,2,2,0,0.5,0.5,-1.5,0.34375,0.0124166666667,0.00620833333333,12,24
11,3,2,0,1.5,0.5,-1.5,0.59375,0.0490833333333,0.0245416666667,12,24
12,0,3,0,-1.5,1.5,-1.5,0.84375,0.0844166666667,0.0422083333333,12,24
13,1,3,0,-0.5,1.5,-1.5,0.59375,0.1685,0.08425,12,24
14,2,3,0,0.5,1.5,-1.5,0.59375,0.0408333333333,0.0204166666667,12,24
15,3,3,0,1.5,1.5,-1.5,0.84375,0,0,12,24
16,0,0,1,-1.5,-1.5,-0.5,0.59375,0.0216666666667,0.0108333333333,12,24
17,1,0,1,-0.5,-1.5,-0.5,0.34375,0,0,12,24
18,2,0,1,0.5,-1.5,-0.5,0.34375,0,0,12,24
19,3,0,1,1.5,-1.5,-0.5,0.59375,0,0,12,24
20,0,1,1,-1.5,-0.5,-0.5,0.34375,0.142,0.071,12,24
21,1,1,1,-0.5,-0.5,-0.5,0.09375,0.07775,0.038875,12,24
22,2,1,1,0.5,-0.5,-0.5,0.09375,0,0,12,24
23,3,1,1,1.5,-0.5,-0.5,0.34375,0,0,12,24
24,0,2,1,-1.5,0.5,-0.5,0.34375,0.0893333333333,0.0446666666667,12,24
25,1,2,1,-0.5,0.5,-0.5,0.09375,0.00158333333333,0.000791666666667,12,24
26,2,2,1,0.5,0.5,-0.5,0.09375,0.0821666666667,0.0410833333333,12,24
27,3,2,1,1.5,0.5,-0.5,0.34375,0,0,12,24
28,0,3,1,-1.5,1.5,-0.5,0.59375,0.0658333333333,0.0329166666667,12,24
29,1,3,1,-0.5,1.5,-0.5,0.34375,0.0283333333333,0.0141666666667,12,24
30,2,3,1,0.5,1.5,-0.5,0.34375,0,0,12,24
31,3,3,1,1.5,1.5,-0.5,0.59375,0.0118333333333,0.00591666666667,12,24
32,0,0,2,-1.5,-1.5,0.5,0.59375,0,0,12,24
33,1,0,2,-0.5,-1.5,0.5,0.34375,0.00166666666667,0.000833333333333,12,24
34,2,0,2,0.5,-1.5,0.5,0.34375,0.0718333333333,0.0359166666667,12,24
35,3,0,2,1.5,-1.5,0.5,0.59375,0.0645,0.03225,12,24
36,0,1,2,-1.5,-0.5,0.5,0.34375,0,0,12,24
37,1,1,2,-0.5,-0.5,0.5,0.09375,0,0,12,24
38,2,1,2,0.5,-0.5,0.5,0.09375,0.0269166666667,0.0134583333333,12,24
39,3,1,2,1.5,-0.5,0.5,0.34375,0,0,12,24
40,0,2,2,-1.5,0.5,0.5,0.34375,0,0,12,24
41,1,2,2,-0.5,0.5,0.5,0.09375,0.00733333333333,0.00366666666667,12,24
42,2,2,2,0.5,0.5,0.5,0.09375,0.0558333333333,0.0279166666667,12,24
43,3,2,2,1.5,0.5,0.5,0.34375,0,0,12,24
44,0,3,2,-1.5,1.5,0.5,0.59375,0,0,12,24
45,1,3,2,-0.5,1.5,0.5,0.34375,0.0231666666667,0.0115833333333,12,24
46,2,3,2,0.5,1.5,0.5,0.34375,0,0,12,24
47,3,3,2,1.5,1.5,0.5,0.59375,0.0971666666667,0.0485833333333,12,24
48,0,0,3,-1.5,-1.5,1.5,0.84375,0,0,12,24
49,1,0,3,-0.5,-1.5,1.5,0.59375,0,0,12,24
50,2,0,3,0.5,-1.5,1.5,0.59375,0.00325,0.001625,12,24
51,3,0,3,1.5,-1.5,1.5,0.84375,0.0305833333333,0.0152916666667,12,24
52,0,1,3,-1.5,-0.5,1.5,0.59375,0,0,12,24
53,1,1,3,-0.5,-0.5,1.5,0.34375,0,0,12,24
54,2,1,3,0.5,-0.5,1.5,0.34375,0.05775,0.028875,12,24
55,3,1,3,1.5,-0.5,1.5,0.59375,0,0,12,24
56,0,2,3,-1.5,0.5,1.5,0.59375,0.035,0.0175,12,24
57,1,2,3,-0.5,0.5,1.5,0.34375,0.112583333333,0.0562916666667,12,24
58,2,2,3,0.5,0.5,1.5,0.34375,0.0005,0.00025,12,24
59,3,2,3,1.5,0.5,1.5,0.59375,0.0993333333333,0.0496666666667,12,24
60,0,3,3,-1.5,1.5,1.5,0.84375,0.0783333333333,0.0391666666667,12,24
61,1,3,3,-0.5,1.5,1.5,0.59375,0.000166666666667,8.33333333333e-05,12,24
62,2,3,3,0.5,1.5,1.5,0.59375,0,0,12,24
63,3,3,3,1.5,1.5,1.5,0.84375,0.0775,0.03875,12,24
