site,x,y,z,physical_x,physical_y,physical_z,potential,occupation,random_particle_probability,chain_count,total_measurements
0,0,0,0,-1.5,-1.5,-1.5,0.84375,0.0251440759375,0.0125720379688,12,12000000
1,1,0,0,-0.5,-1.5,-1.5,0.59375,0.0285273577083,0.0142636788542,12,12000000
2,2,0,0,0.5,-1.5,-1.5,0.59375,0.0290048053125,0.0145024026563,12,12000000
3,3,0,0,1.5,-1.5,-1.5,0.84375,0.0252158976042,0.0126079488021,12,12000000
4,0,1,0,-1.5,-0.5,-1.5,0.59375,0.0292675104167,0.0146337552083,12,12000000
5,1,1,0,-0.5,-0.5,-1.5,0.34375,0.0327176938542,0.0163588469271,12,12000000
6,2,1,0,0.5,-0.5,-1.5,0.34375,0.0331377580208,0.0165688790104,12,12000000
7,3,1,0,1.5,-0.5,-1.5,0.59375,0.0295663805208,0.0147831902604,12,12000000
8,0,2,0,-1.5,0.5,-1.5,0.59375,0.0281407017708,0.0140703508854,12,12000000
9,1,2,0,-0.5,0.5,-1.5,0.34375,0.0317650408333,0.0158825204167,12,12000000
10,2,2,0,0.5,0.5,-1.5,0.34375,0.0329852078125,0.0164926039063,12,12000000
11,3,2,0,1.5,0.5,-1.5,0.59375,0.0292929834375,0.0146464917188,12,12000000
12,0,3,0,-1.5,1.5,-1.5,0.84375,0.0261488646875,0.0130744323437,12,12000000
13,1,3,0,-0.5,1.5,-1.5,0.59375,0.0307210930208,0.0153605465104,12,12000000
14,2,3,0,0.5,1.5,-1.5,0.59375,0.0293110445833,0.0146555222917,12,12000000
15,3,3,0,1.5,1.5,-1.5,0.84375,0.0257129502083,0.0128564751042,12,12000000
16,0,0,1,-1.5,-1.5,-0.5,0.59375,0.0288262877083,0.0144131438542,12,12000000
17,1,0,1,-0.5,-1.5,-0.5,0.34375,0.0325828591667,0.0162914295833,12,12000000
18,2,0,1,0.5,-1.5,-0.5,0.34375,0.0320389192708,0.0160194596354,12,12000000
19,3,0,1,1.5,-1.5,-0.5,0.59375,0.0283703678125,0.0141851839062,12,12000000
20,0,1,1,-1.5,-0.5,-0.5,0.34375,0.0328020272917,0.0164010136458,12,12000000
21,1,1,1,-0.5,-0.5,-0.5,0.09375,0.0371742059375,0.0185871029688,12,12000000
22,2,1,1,0.5,-0.5,-0.5,0.09375,0.038357925625,0.0191789628125,12,12000000
23,3,1,1,1.5,-0.5,-0.5,0.34375,0.0344879335417,0.0172439667708,12,12000000
24,0,2,1,-1.5,0.5,-0.5,0.34375,0.0326146552083,0.0163073276042,12,12000000
25,1,2,1,-0.5,0.5,-0.5,0.09375,0.0363363315625,0.0181681657812,12,12000000
26,2,2,1,0.5,0.5,-0.5,0.09375,0.0369871378125,0.0184935689063,12,12000000
27,3,2,1,1.5,0.5,-0.5,0.34375,0.0329463101042,0.0164731550521,12,12000000
28,0,3,1,-1.5,1.5,-0.5,0.59375,0.0289391980208,0.0144695990104,12,12000000
29,1,3,1,-0.5,1.5,-0.5,0.34375,0.0330741970833,0.0165370985417,12,12000000
30,2,3,1,0.5,1.5,-0.5,0.34375,0.0327618235417,0.0163809117708,12,12000000
31,3,3,1,1.5,1.5,-0.5,0.59375,0.0288778469792,0.0144389234896,12,12000000
32,0,0,2,-1.5,-1.5,0.5,0.59375,0.0288883002083,0.0144441501042,12,12000000
33,1,0,2,-0.5,-1.5,0.5,0.34375,0.0330459125,0.01652295625,12,12000000
34,2,0,2,0.5,-1.5,0.5,0.34375,0.032227670625,0.0161138353125,12,12000000
35,3,0,2,1.5,-1.5,0.5,0.59375,0.0286596870833,0.0143298435417,12,12000000
36,0,1,2,-1.5,-0.5,0.5,0.34375,0.0318510740625,0.0159255370313,12,12000000
37,1,1,2,-0.5,-0.5,0.5,0.09375,0.0375751675,0.01878758375,12,12000000
38,2,1,2,0.5,-0.5,0.5,0.09375,0.0375009046875,0.0187504523438,12,12000000
39,3,1,2,1.5,-0.5,0.5,0.34375,0.0325905332292,0.0162952666146,12,12000000
40,0,2,2,-1.5,0.5,0.5,0.34375,0.0343586989583,0.0171793494792,12,12000000
41,1,2,2,-0.5,0.5,0.5,0.09375,0.0386121503125,0.0193060751563,12,12000000
42,2,2,2,0.5,0.5,0.5,0.09375,0.0377959235417,0.0188979617708,12,12000000
43,3,2,2,1.5,0.5,0.5,0.34375,0.0333419535417,0.0166709767708,12,12000000
44,0,3,2,-1.5,1.5,0.5,0.59375,0.0302343322917,0.0151171661458,12,12000000
45,1,3,2,-0.5,1.5,0.5,0.34375,0.0338896757292,0.0169448378646,12,12000000
46,2,3,2,0.5,1.5,0.5,0.34375,0.0332557989583,0.0166278994792,12,12000000
47,3,3,2,1.5,1.5,0.5,0.59375,0.0279276028125,0.0139638014062,12,12000000
48,0,0,3,-1.5,-1.5,1.5,0.84375,0.0251973080208,0.0125986540104,12,12000000
49,1,0,3,-0.5,-1.5,1.5,0.59375,0.0281215085417,0.0140607542708,12,12000000
50,2,0,3,0.5,-1.5,1.5,0.59375,0.0295045211458,0.0147522605729,12,12000000
51,3,0,3,1.5,-1.5,1.5,0.84375,0.0254548892708,0.0127274446354,12,12000000
52,0,1,3,-1.5,-0.5,1.5,0.59375,0.02786022625,0.013930113125,12,12000000
53,1,1,3,-0.5,-0.5,1.5,0.34375,0.0335601682292,0.0167800841146,12,12000000
54,2,1,3,0.5,-0.5,1.5,0.34375,0.0342435857292,0.0171217928646,12,12000000
55,3,1,3,1.5,-0.5,1.5,0.59375,0.029103940625,0.0145519703125,12,12000000
56,0,2,3,-1.5,0.5,1.5,0.59375,0.030261304375,0.0151306521875,12,12000000
57,1,2,3,-0.5,0.5,1.5,0.34375,0.0345142198958,0.0172571099479,12,12000000
58,2,2,3,0.5,0.5,1.5,0.34375,0.0340688141667,0.0170344070833,12,12000000
59,3,2,3,1.5,0.5,1.5,0.59375,0.0297415378125,0.0148707689062,12,12000000
60,0,3,3,-1.5,1.5,1.5,0.84375,0.0275690853125,0.0137845426562,12,12000000
61,1,3,3,-0.5,1.5,1.5,0.59375,0.0303059817708,0.0151529908854,12,12000000
62,2,3,3,0.5,1.5,1.5,0.59375,0.0290753360417,0.0145376680208,12,12000000
63,3,3,3,1.5,1.5,1.5,0.84375,0.025824794375,0.0129123971875,12,12000000
